day_index,hub_name,resource_type,resource_demand_units,resource_capacity_units,contributing_routes,resource_capacity_note,utilization,shortage_units,resource_status,scenic_peak_load,scenic_overload_persons
4,赛里木湖,coach_bus,10.2807,377.6667,Q4V2_R008,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0272,0.0,green,,
4,赛里木湖,licensed_guide,13.9524,531.0938,Q4V2_R008,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0263,0.0,green,,
4,赛里木湖,scenic_shuttle_or_parking,8.6815,339.9,Q4V2_R008,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0255,0.0,green,,
4,霍城县(惠远古城),licensed_guide,8.2536,370.1562,Q4V2_R011,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0223,0.0,green,,
4,霍城县(惠远古城),scenic_shuttle_or_parking,4.8146,236.9,Q4V2_R011,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0203,0.0,green,,
4,塔什库尔干县(帕米尔高原),licensed_guide,6.1286,315.4375,Q4V2_R041,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0194,0.0,green,,
4,塔什库尔干县(帕米尔高原),scenic_shuttle_or_parking,3.575,201.88,Q4V2_R041,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0177,0.0,green,,
4,和田市,coach_bus,8.1242,640.8889,Q4V2_R039,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0127,0.0,green,,
4,喀什市,coach_bus,11.4254,1190.2222,Q4V2_R024;Q4V2_R063,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0096,0.0,green,,
4,喀什市,licensed_guide,15.506,1673.75,Q4V2_R024;Q4V2_R063,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0093,0.0,green,,
4,喀什市,scenic_shuttle_or_parking,9.6481,1071.2,Q4V2_R024;Q4V2_R063,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.009,0.0,green,,
4,和田市,licensed_guide,6.3833,901.25,Q4V2_R039,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0071,0.0,green,,
