route_id,trial,scenario,spots_count,scheduled_days,active_hours,over_budget_days,time_window_violations,limited_lodging_nights,hotel_full_nights,reservation_failures,transport_delay_events,severe_transport_events,crowd_penalty,total_proxy_cost_yuan,route_feasible
HYBRID_30D_ACO_ALNS_SA,201,normal_weekday,32,31,206.15,5,0,0,0,0,1,0,0.0,14738.53,False
HYBRID_30D_ACO_ALNS_SA,202,summer_peak,32,33,219.945,5,1,1,2,0,3,0,0.0,16033.67,False
HYBRID_30D_ACO_ALNS_SA,203,road_closure,32,41,318.165,14,0,2,2,1,11,4,0.0,17764.72,False
HYBRID_30D_ACO_ALNS_SA,204,normal_weekday,32,31,202.32,5,0,0,0,0,0,0,0.0,14638.53,False
HYBRID_30D_ACO_ALNS_SA,205,normal_weekday,32,30,214.38,6,0,0,1,0,2,0,0.0,14655.14,False
HYBRID_30D_ACO_ALNS_SA,206,summer_peak,32,33,220.145,5,0,0,5,1,0,0,0.0,16448.13,False
HYBRID_30D_ACO_ALNS_SA,207,road_closure,32,40,318.396,10,0,2,3,0,8,1,0.0,17748.44,False
HYBRID_30D_ACO_ALNS_SA,208,summer_peak,32,33,224.354,5,1,0,2,0,1,0,0.0,15917.2,False
HYBRID_30D_ACO_ALNS_SA,209,summer_peak,32,33,224.343,3,0,0,1,2,5,0,0.0,15840.23,False
HYBRID_30D_ACO_ALNS_SA,210,adverse_weather,32,36,264.401,11,0,1,4,2,5,0,0.0,17128.85,False
HYBRID_30D_ACO_ALNS_SA,211,holiday_peak,32,33,245.296,6,0,1,4,3,0,0,0.672,17593.66,False
HYBRID_30D_ACO_ALNS_SA,212,summer_peak,32,33,233.545,5,0,1,4,1,2,0,0.0,16385.89,False
HYBRID_30D_ACO_ALNS_SA,213,normal_weekday,32,31,202.07,6,0,0,0,1,0,0,0.0,14688.53,False
HYBRID_30D_ACO_ALNS_SA,214,normal_weekday,32,27,192.2,4,0,0,0,0,1,0,0.0,13948.53,True
HYBRID_30D_ACO_ALNS_SA,215,normal_weekday,32,31,207.758,5,0,0,1,2,4,0,0.0,14899.0,False
HYBRID_30D_ACO_ALNS_SA,216,normal_weekday,32,30,201.75,5,0,0,0,0,0,0,0.0,14548.53,False
HYBRID_30D_ACO_ALNS_SA,217,normal_weekday,32,31,208.03,3,1,0,0,0,0,0,0.0,14728.53,False
HYBRID_30D_ACO_ALNS_SA,218,normal_weekday,32,29,198.992,4,0,0,2,0,1,0,0.0,14587.27,False
HYBRID_30D_ACO_ALNS_SA,219,normal_weekday,32,32,209.43,4,0,0,0,0,3,0,0.0,14918.53,True
HYBRID_30D_ACO_ALNS_SA,220,normal_weekday,32,32,216.52,5,0,1,0,0,4,0,0.0,14998.53,False
HYBRID_30D_ACO_ALNS_SA,221,summer_peak,32,33,231.405,5,0,0,2,2,1,0,0.0,15984.25,False
HYBRID_30D_ACO_ALNS_SA,222,normal_weekday,32,33,214.85,4,0,0,0,0,3,0,0.0,14978.53,True
HYBRID_30D_ACO_ALNS_SA,223,summer_peak,32,33,219.243,4,1,0,3,2,2,0,0.0,16288.87,False
HYBRID_30D_ACO_ALNS_SA,224,normal_weekday,32,32,209.22,3,0,0,0,0,4,0,0.0,14898.53,True
HYBRID_30D_ACO_ALNS_SA,225,normal_weekday,32,31,206.86,4,1,0,0,1,0,0,0.0,14728.53,False
HYBRID_30D_ACO_ALNS_SA,226,summer_peak,32,32,220.131,3,0,0,1,3,1,0,0.0,15744.82,False
HYBRID_30D_ACO_ALNS_SA,227,holiday_peak,32,34,254.685,11,0,0,6,1,3,0,0.672,17924.84,False
HYBRID_30D_ACO_ALNS_SA,228,normal_weekday,32,29,194.66,4,1,0,0,1,3,0,0.0,14268.53,False
HYBRID_30D_ACO_ALNS_SA,229,normal_weekday,32,29,196.661,3,0,0,1,1,1,0,0.0,14622.99,False
HYBRID_30D_ACO_ALNS_SA,230,adverse_weather,32,36,258.67,11,0,1,0,0,4,0,0.0,16502.94,False
HYBRID_30D_ACO_ALNS_SA,231,adverse_weather,32,36,273.81,10,0,1,3,3,6,0,0.0,17037.22,False
HYBRID_30D_ACO_ALNS_SA,232,road_closure,32,37,273.892,12,0,1,2,0,3,0,0.0,16886.61,False
HYBRID_30D_ACO_ALNS_SA,233,normal_weekday,32,32,209.85,4,0,0,1,0,4,0,0.0,15068.23,True
HYBRID_30D_ACO_ALNS_SA,234,adverse_weather,32,37,266.32,13,0,2,0,0,9,0,0.0,16732.94,False
HYBRID_30D_ACO_ALNS_SA,235,normal_weekday,32,31,203.537,3,1,1,1,0,5,0,0.0,15009.29,False
HYBRID_30D_ACO_ALNS_SA,236,normal_weekday,32,28,196.82,6,1,0,0,2,2,0,0.0,14088.53,False
HYBRID_30D_ACO_ALNS_SA,237,holiday_peak,32,33,241.881,7,0,0,6,1,0,0,0.672,17788.66,False
HYBRID_30D_ACO_ALNS_SA,238,summer_peak,32,32,222.866,6,0,1,3,1,1,0,0.0,16102.38,False
HYBRID_30D_ACO_ALNS_SA,239,road_closure,32,39,300.341,11,0,2,4,2,12,0,0.0,17479.8,False
HYBRID_30D_ACO_ALNS_SA,240,summer_peak,32,31,219.881,4,0,0,3,1,1,0,0.0,16061.17,False
HYBRID_30D_ACO_ALNS_SA,241,normal_weekday,32,30,202.161,2,0,0,1,0,1,0,0.0,14634.87,True
HYBRID_30D_ACO_ALNS_SA,242,normal_weekday,32,30,207.665,4,0,0,1,3,2,0,0.0,14736.43,False
HYBRID_30D_ACO_ALNS_SA,243,normal_weekday,32,31,199.12,3,1,0,0,0,1,0,0.0,14698.53,False
HYBRID_30D_ACO_ALNS_SA,244,holiday_peak,32,34,252.134,7,0,0,7,6,3,0,0.672,18246.36,False
HYBRID_30D_ACO_ALNS_SA,245,normal_weekday,32,31,199.91,3,0,0,0,0,0,0,0.0,14658.53,True
HYBRID_30D_ACO_ALNS_SA,246,normal_weekday,32,30,202.259,3,1,0,1,0,3,0,0.0,14708.41,False
HYBRID_30D_ACO_ALNS_SA,247,normal_weekday,32,32,207.22,2,0,0,0,0,4,0,0.0,14918.53,True
HYBRID_30D_ACO_ALNS_SA,248,holiday_peak,32,33,253.143,11,0,1,6,3,1,0,0.672,17831.02,False
HYBRID_30D_ACO_ALNS_SA,249,normal_weekday,32,29,194.76,4,0,0,0,0,1,0,0.0,14228.53,True
HYBRID_30D_ACO_ALNS_SA,250,holiday_peak,32,34,254.437,9,1,1,5,2,3,0,0.672,17831.33,False
HYBRID_30D_ACO_ALNS_SA,251,normal_weekday,32,33,205.914,2,1,0,2,0,3,0,0.0,15395.07,False
HYBRID_30D_ACO_ALNS_SA,252,normal_weekday,32,30,209.986,6,0,0,1,0,2,0,0.0,14721.77,False
HYBRID_30D_ACO_ALNS_SA,253,holiday_peak,32,34,255.381,10,0,0,7,3,1,0,0.672,18028.07,False
HYBRID_30D_ACO_ALNS_SA,254,normal_weekday,32,30,204.38,6,0,0,0,2,1,0,0.0,14438.53,False
HYBRID_30D_ACO_ALNS_SA,255,normal_weekday,32,32,213.179,3,0,0,1,0,2,0,0.0,15067.81,True
HYBRID_30D_ACO_ALNS_SA,256,normal_weekday,32,31,207.24,6,0,0,0,1,2,0,0.0,14718.53,False
HYBRID_30D_ACO_ALNS_SA,257,summer_peak,32,33,220.12,5,1,0,0,4,4,0,0.0,15688.59,False
HYBRID_30D_ACO_ALNS_SA,258,normal_weekday,32,31,201.922,4,1,0,1,1,2,0,0.0,14956.96,False
HYBRID_30D_ACO_ALNS_SA,259,summer_peak,32,33,226.285,5,0,0,4,0,1,0,0.0,16403.2,False
HYBRID_30D_ACO_ALNS_SA,260,normal_weekday,32,28,200.25,6,1,0,1,0,1,0,0.0,14229.11,False
