iteration,operator,move,temperature,accepted,candidate_objective,current_objective,best_objective,candidate_spots,best_spots,candidate_days,candidate_over_budget_days,candidate_time_window_violations,candidate_limited_lodging_nights
126,random_removal,two_opt,3016.0639,False,253870.162,257397.313,257523.04,31,32,30,3,0,0
127,random_removal,none,2997.9675,False,248718.396,257397.313,257523.04,30,32,30,2,0,0
128,random_removal,none,2979.9797,True,257397.313,257397.313,257523.04,32,32,30,3,0,0
129,region_removal,none,2962.0998,False,241897.328,257397.313,257523.04,30,32,30,3,0,1
130,worst_removal,two_opt,2944.3272,False,-127207.77,257397.313,257523.04,29,32,33,6,0,1
131,lodging_pressure_removal,swap,2926.6612,False,-235938.118,257397.313,257523.04,32,32,34,5,0,1
132,long_arc_removal,swap,2909.1013,False,-122471.345,257397.313,257523.04,32,32,33,7,0,0
133,random_removal,reorder,2891.6467,False,248379.265,257397.313,257523.04,32,32,29,7,0,2
134,lodging_pressure_removal,swap,2874.2968,False,-235709.302,257397.313,257523.04,32,32,34,6,0,0
135,long_arc_removal,swap,2857.051,False,-238854.189,257397.313,257523.04,32,32,34,6,0,1
136,worst_removal,two_opt,2839.9087,False,229714.002,257397.313,257523.04,27,32,29,7,0,2
137,region_removal,none,2822.8692,True,257438.638,257438.638,257523.04,32,32,30,3,0,0
138,lodging_pressure_removal,none,2805.932,True,257438.638,257438.638,257523.04,32,32,30,3,0,0
139,lodging_pressure_removal,none,2789.0964,True,257438.638,257438.638,257523.04,32,32,30,3,0,0
140,random_removal,none,2772.3619,False,251290.322,257438.638,257523.04,30,32,30,2,0,0
141,lodging_pressure_removal,reorder,2755.7277,False,250122.899,257438.638,257523.04,32,32,29,7,0,1
142,lodging_pressure_removal,reorder,2739.1933,False,250122.899,257438.638,257523.04,32,32,29,7,0,1
143,region_removal,none,2722.7582,True,257438.638,257438.638,257523.04,32,32,30,3,0,0
144,long_arc_removal,none,2706.4216,False,254010.98,257438.638,257523.04,32,32,30,4,0,0
145,worst_removal,reorder,2690.1831,False,244847.68,257438.638,257523.04,30,32,28,4,0,2
146,long_arc_removal,two_opt,2674.042,False,120005.55,257438.638,257523.04,32,32,31,7,0,1
147,region_removal,two_opt,2657.9977,False,6133.026,257438.638,257523.04,32,32,32,7,0,1
148,worst_removal,reorder,2642.0497,False,250122.899,257438.638,257523.04,32,32,29,7,0,1
149,region_removal,two_opt,2626.1974,False,-108547.829,257438.638,257523.04,32,32,33,3,0,0
150,worst_removal,none,2610.4403,False,254597.348,257438.638,257523.04,31,32,30,2,0,0
151,random_removal,two_opt,2594.7776,False,-233560.595,257438.638,257523.04,32,32,34,5,0,1
152,region_removal,swap,2579.209,False,-239824.007,257438.638,257523.04,32,32,34,7,0,0
153,random_removal,swap,2563.7337,True,256412.589,256412.589,257523.04,32,32,30,3,0,1
154,random_removal,none,2548.3513,False,249983.119,256412.589,257523.04,30,32,30,2,0,1
155,lodging_pressure_removal,reorder,2533.0612,False,250122.899,256412.589,257523.04,32,32,29,7,0,1
156,region_removal,none,2517.8628,True,257438.638,257438.638,257523.04,32,32,30,3,0,0
157,region_removal,swap,2502.7556,False,253366.06,257438.638,257523.04,31,32,30,3,0,0
158,region_removal,none,2487.7391,False,243722.868,257438.638,257523.04,30,32,29,3,0,0
159,random_removal,none,2472.8127,True,257522.795,257522.795,257523.04,32,32,30,3,0,0
160,lodging_pressure_removal,swap,2457.9758,False,255840.871,257522.795,257523.04,32,32,30,4,0,0
161,worst_removal,two_opt,2443.2279,False,-2708.248,257522.795,257523.04,30,32,32,7,0,1
162,random_removal,two_opt,2428.5686,False,-121579.008,257522.795,257523.04,30,32,33,5,0,2
163,region_removal,none,2413.9972,True,258470.175,258470.175,258470.175,32,32,30,2,0,0
164,lodging_pressure_removal,swap,2399.5132,False,-376776.284,258470.175,258470.175,32,32,35,6,0,2
165,region_removal,reorder,2385.1161,False,250122.899,258470.175,258470.175,32,32,29,7,0,1
166,worst_removal,swap,2370.8054,False,9114.259,258470.175,258470.175,32,32,32,3,0,1
167,region_removal,none,2356.5806,True,258470.175,258470.175,258470.175,32,32,30,2,0,0
168,lodging_pressure_removal,two_opt,2342.4411,False,130870.552,258470.175,258470.175,32,32,31,4,0,1
169,worst_removal,swap,2328.3864,False,3994.463,258470.175,258470.175,30,32,32,3,0,0
170,region_removal,two_opt,2314.4161,False,-366102.632,258470.175,258470.175,31,32,35,6,0,1
171,random_removal,reorder,2300.5296,False,215484.435,258470.175,258470.175,27,32,26,5,0,1
172,region_removal,two_opt,2286.7265,False,11506.709,258470.175,258470.175,32,32,32,4,0,1
173,random_removal,reorder,2273.0061,False,250122.899,258470.175,258470.175,32,32,29,7,0,1
174,long_arc_removal,two_opt,2259.3681,False,229448.754,258470.175,258470.175,27,32,27,2,0,0
175,lodging_pressure_removal,swap,2245.8118,False,-357700.069,258470.175,258470.175,32,32,35,5,0,0
176,random_removal,none,2232.337,True,258470.175,258470.175,258470.175,32,32,30,2,0,0
177,region_removal,reorder,2218.943,False,250122.899,258470.175,258470.175,32,32,29,7,0,1
