from_spot_id,from_spot_name,from_lng,from_lat,to_spot_id,to_spot_name,to_lng,to_lat,amap_origin_id,amap_dest_batch_index,driving_distance_km,driving_duration_hours,driving_duration_minutes,source_id
P032,博斯腾湖,87.132144,41.984799,P014,霍城薰衣草花田,80.917837,44.294346,32,14,752.878,11.297,677.8,AMAP_DISTANCE_API
P033,巴音布鲁克草原,84.152246,43.038375,P014,霍城薰衣草花田,80.917837,44.294346,33,14,407.696,5.536,332.2,AMAP_DISTANCE_API
P034,罗布人村寨,86.102565,41.051029,P014,霍城薰衣草花田,80.917837,44.294346,34,14,816.789,11.443,686.6,AMAP_DISTANCE_API
P035,江布拉克草原,89.725973,43.648226,P014,霍城薰衣草花田,80.917837,44.294346,35,14,811.88,8.977,538.6,AMAP_DISTANCE_API
P036,北庭故城遗址,89.206249,44.06673,P014,霍城薰衣草花田,80.917837,44.294346,36,14,751.254,8.19,491.4,AMAP_DISTANCE_API
P037,和田博物馆,79.927167,37.091873,P014,霍城薰衣草花田,80.917837,44.294346,37,14,1312.266,17.783,1067.0,AMAP_DISTANCE_API
P038,尼雅遗址,82.721398,37.977215,P014,霍城薰衣草花田,80.917837,44.294346,38,14,1204.475,18.019,1081.2,AMAP_DISTANCE_API
P039,千里葡萄长廊,79.833641,37.127514,P014,霍城薰衣草花田,80.917837,44.294346,39,14,1313.663,17.905,1074.3,AMAP_DISTANCE_API
P040,奥依塔克冰川,75.340867,38.941664,P014,霍城薰衣草花田,80.917837,44.294346,40,14,1448.615,18.112,1086.7,AMAP_DISTANCE_API
P001,天山天池,88.067381,44.102919,P015,昭苏草原,81.422775,42.842975,1,15,788.365,13.152,789.1,AMAP_DISTANCE_API
P002,达坂城古镇,88.338318,43.326289,P015,昭苏草原,81.422775,42.842975,2,15,829.514,13.968,838.1,AMAP_DISTANCE_API
P003,火焰山,89.513296,42.918783,P015,昭苏草原,81.422775,42.842975,3,15,950.769,15.511,930.6,AMAP_DISTANCE_API
P004,葡萄沟,89.24417,43.000687,P015,昭苏草原,81.422775,42.842975,4,15,929.111,15.222,913.3,AMAP_DISTANCE_API
P005,坎儿井民俗园,89.148541,42.95264,P015,昭苏草原,81.422775,42.842975,5,15,857.667,16.175,970.5,AMAP_DISTANCE_API
P006,交河故城,89.065435,42.953881,P015,昭苏草原,81.422775,42.842975,6,15,864.684,16.373,982.4,AMAP_DISTANCE_API
P007,楼兰古城,75.993543,39.463205,P015,昭苏草原,81.422775,42.842975,7,15,1345.152,19.459,1167.5,AMAP_DISTANCE_API
P008,赛里木湖,81.386542,44.617077,P015,昭苏草原,81.422775,42.842975,8,15,342.292,6.634,398.1,AMAP_DISTANCE_API
P009,那拉提草原,84.020007,43.266978,P015,昭苏草原,81.422775,42.842975,9,15,310.667,7.116,426.9,AMAP_DISTANCE_API
P010,喀拉峻大草原,82.088099,43.065713,P015,昭苏草原,81.422775,42.842975,10,15,115.72,4.049,242.9,AMAP_DISTANCE_API
P011,高昌故城,89.528941,42.852645,P015,昭苏草原,81.422775,42.842975,11,15,961.16,15.922,955.3,AMAP_DISTANCE_API
P012,苏公塔,89.206429,42.935833,P015,昭苏草原,81.422775,42.842975,12,15,861.525,16.295,977.7,AMAP_DISTANCE_API
P013,吐峪沟麻扎村,89.69288,42.856627,P015,昭苏草原,81.422775,42.842975,13,15,969.942,15.879,952.8,AMAP_DISTANCE_API
P014,霍城薰衣草花田,80.917837,44.294346,P015,昭苏草原,81.422775,42.842975,14,15,277.641,5.643,338.6,AMAP_DISTANCE_API
P015,昭苏草原,81.422775,42.842975,P015,昭苏草原,81.422775,42.842975,15,15,0.001,0.0,0.0,AMAP_DISTANCE_API
P016,夏塔古道,80.668138,42.597704,P015,昭苏草原,81.422775,42.842975,16,15,120.499,3.726,223.6,AMAP_DISTANCE_API
P017,果子沟大桥,81.140191,44.475984,P015,昭苏草原,81.422775,42.842975,17,15,378.66,7.02,421.2,AMAP_DISTANCE_API
P018,喀纳斯湖,87.055797,48.82663,P015,昭苏草原,81.422775,42.842975,18,15,1137.508,18.411,1104.7,AMAP_DISTANCE_API
P019,禾木村,87.452753,48.576964,P015,昭苏草原,81.422775,42.842975,19,15,1120.572,17.856,1071.3,AMAP_DISTANCE_API
P020,白哈巴村,86.783604,48.699657,P015,昭苏草原,81.422775,42.842975,20,15,1108.419,17.701,1062.1,AMAP_DISTANCE_API
P021,可可托海,89.884211,47.222081,P015,昭苏草原,81.422775,42.842975,21,15,1212.39,18.102,1086.1,AMAP_DISTANCE_API
P022,五彩滩,86.680702,47.837537,P015,昭苏草原,81.422775,42.842975,22,15,988.962,15.551,933.1,AMAP_DISTANCE_API
P023,世界魔鬼城,85.733205,46.135149,P015,昭苏草原,81.422775,42.842975,23,15,754.117,12.919,775.1,AMAP_DISTANCE_API
P024,喀什古城,75.994657,39.475323,P015,昭苏草原,81.422775,42.842975,24,15,1343.892,19.429,1165.8,AMAP_DISTANCE_API
P025,艾提尕尔清真寺,75.987867,39.472577,P015,昭苏草原,81.422775,42.842975,25,15,1343.272,19.39,1163.4,AMAP_DISTANCE_API
P026,香妃园,76.026973,39.488614,P015,昭苏草原,81.422775,42.842975,26,15,1342.708,19.303,1158.2,AMAP_DISTANCE_API
P027,帕米尔高原白沙湖,75.049369,38.443069,P015,昭苏草原,81.422775,42.842975,27,15,1527.474,22.114,1326.8,AMAP_DISTANCE_API
P028,石头城遗址,75.234894,37.78213,P015,昭苏草原,81.422775,42.842975,28,15,1627.421,23.586,1415.2,AMAP_DISTANCE_API
P029,天山神秘大峡谷,83.065893,42.122058,P015,昭苏草原,81.422775,42.842975,29,15,590.207,11.238,674.2,AMAP_DISTANCE_API
P030,库车王府,82.920907,41.718795,P015,昭苏草原,81.422775,42.842975,30,15,652.529,12.387,743.2,AMAP_DISTANCE_API
P031,克孜尔石窟,82.506888,41.779043,P015,昭苏草原,81.422775,42.842975,31,15,670.528,12.624,757.5,AMAP_DISTANCE_API
P032,博斯腾湖,87.132144,41.984799,P015,昭苏草原,81.422775,42.842975,32,15,745.7,13.849,831.0,AMAP_DISTANCE_API
P033,巴音布鲁克草原,84.152246,43.038375,P015,昭苏草原,81.422775,42.842975,33,15,400.518,8.143,488.6,AMAP_DISTANCE_API
P034,罗布人村寨,86.102565,41.051029,P015,昭苏草原,81.422775,42.842975,34,15,809.611,14.012,840.8,AMAP_DISTANCE_API
P035,江布拉克草原,89.725973,43.648226,P015,昭苏草原,81.422775,42.842975,35,15,950.823,14.885,893.1,AMAP_DISTANCE_API
P036,北庭故城遗址,89.206249,44.06673,P015,昭苏草原,81.422775,42.842975,36,15,890.197,14.204,852.2,AMAP_DISTANCE_API
P037,和田博物馆,79.927167,37.091873,P015,昭苏草原,81.422775,42.842975,37,15,1305.088,20.492,1229.5,AMAP_DISTANCE_API
P038,尼雅遗址,82.721398,37.977215,P015,昭苏草原,81.422775,42.842975,38,15,1197.297,20.569,1234.2,AMAP_DISTANCE_API
P039,千里葡萄长廊,79.833641,37.127514,P015,昭苏草原,81.422775,42.842975,39,15,1306.485,20.576,1234.6,AMAP_DISTANCE_API
P040,奥依塔克冰川,75.340867,38.941664,P015,昭苏草原,81.422775,42.842975,40,15,1441.437,20.817,1249.0,AMAP_DISTANCE_API
P001,天山天池,88.067381,44.102919,P016,夏塔古道,80.668138,42.597704,1,16,857.364,12.622,757.3,AMAP_DISTANCE_API
P002,达坂城古镇,88.338318,43.326289,P016,夏塔古道,80.668138,42.597704,2,16,898.513,13.361,801.7,AMAP_DISTANCE_API
P003,火焰山,89.513296,42.918783,P016,夏塔古道,80.668138,42.597704,3,16,1019.768,14.93,895.8,AMAP_DISTANCE_API
