route_id,simulation_samples,success_probability,overrun_probability,expected_days,p90_days,p95_days,expected_cost_yuan,p95_cost_yuan,expected_loss,cvar75_loss,cvar90_loss,expected_red_days,prob_red_days_gt1,mean_simulated_comfort,p10_simulated_comfort,chance_constraint_pass,simulation_note
Q1V3_Q20_004,500,0.836,0.0,22.03,22.0,22.0,9787.96,11740.86,1097.324,1894.148,2186.875,3.74,1.0,83.45,79.442,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q20_002,500,0.834,0.0,19.046,19.0,19.0,11926.52,14336.81,1147.693,2062.637,2410.2,3.728,1.0,81.099,77.504,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q20_001,500,0.824,0.0,19.028,19.0,19.0,11953.65,14307.31,1175.553,2083.223,2441.926,3.714,1.0,80.426,76.727,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q20_003,500,0.836,0.0,22.038,22.0,22.0,12113.4,14548.24,984.127,1893.869,2226.516,2.736,1.0,83.109,79.64,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q20_020,500,0.84,0.0,21.034,21.0,21.0,9484.27,11378.39,1076.5,1823.613,2149.368,3.728,1.0,83.701,79.913,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q20_019,500,0.856,0.0,22.04,22.0,22.0,11405.91,13628.1,1115.977,1949.67,2253.668,3.716,1.0,85.392,81.756,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q20_052,500,0.782,0.0,21.024,21.0,21.0,10020.02,12019.61,1284.072,2161.266,2480.157,4.742,1.0,79.523,74.89,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q20_051,500,0.822,0.0,23.044,23.0,23.0,11976.63,14335.06,1369.368,2283.89,2613.436,4.76,1.0,82.338,77.497,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q22_098,500,0.832,0.0,22.034,22.0,22.0,10184.53,12285.15,1294.597,2109.562,2457.4,4.766,1.0,81.32,77.749,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q22_097,500,0.834,0.0,21.014,21.0,21.0,12528.31,15059.44,834.719,1746.211,2012.024,1.748,0.63,80.381,76.716,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q22_086,500,0.834,0.0,22.026,22.0,22.0,12725.61,15265.57,1348.886,2280.355,2604.605,4.734,1.0,82.636,79.185,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q22_066,500,0.812,0.0,25.036,25.0,25.0,10830.06,13052.76,987.443,1874.397,2229.772,2.764,1.0,85.495,81.394,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q22_065,500,0.824,0.0,25.04,25.0,25.0,11260.71,13589.51,987.79,1860.875,2262.31,2.772,1.0,84.969,81.091,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q22_085,500,0.822,0.0,24.016,24.0,24.0,11615.03,13990.18,1381.008,2294.67,2664.697,4.756,1.0,81.816,78.142,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q22_062,500,0.818,0.0,23.028,23.0,23.0,10172.89,12190.47,1144.759,1953.694,2266.769,3.76,1.0,83.706,79.426,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q22_070,500,0.806,0.0,23.034,23.0,23.0,9640.34,11677.77,785.56,1604.878,1938.258,1.744,0.622,85.086,81.307,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q22_060,500,0.826,0.0,21.04,21.0,21.0,12315.71,14707.54,1184.657,2111.545,2478.583,3.746,1.0,82.739,79.027,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q22_061,500,0.834,0.0,24.03,24.0,24.0,12341.01,14791.43,1025.03,1927.532,2247.351,2.742,1.0,85.113,81.203,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q22_059,500,0.826,0.0,21.038,21.0,21.0,12341.79,14829.34,1194.719,2113.302,2455.116,3.748,1.0,82.174,78.415,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q22_091,500,0.824,0.0,23.038,23.0,23.0,12219.88,14676.48,1024.818,1957.215,2299.366,2.742,1.0,84.777,81.136,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q22_092,500,0.82,0.0,23.026,23.0,23.0,10201.51,12281.09,973.696,1814.521,2187.975,2.734,1.0,85.371,81.619,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q22_069,500,0.822,0.0,23.034,23.0,23.0,11845.08,14186.2,1017.419,1911.921,2235.261,2.726,1.0,84.602,80.799,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q22_106,500,0.83,0.0,23.026,23.0,23.0,10304.35,12412.92,1151.84,1984.425,2331.93,3.76,1.0,82.185,77.721,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q22_105,500,0.824,0.0,25.026,25.0,25.0,12475.24,14953.52,1228.178,2184.88,2507.109,3.748,1.0,83.976,79.578,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q22_084,500,0.816,0.0,23.024,23.0,23.0,10195.1,12210.75,1343.414,2170.99,2501.828,4.752,1.0,82.407,77.77,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
