route_id,active_or_transfer_days,planned_trip_days,buffer_days,red_days,yellow_days,green_days,long_transfer_days,late_hotel_days,max_day_active_hours,mean_day_active_hours,mean_comfort_score,p10_comfort_score,time_window_violations,late_after_hard_end_violations,schedule_soft_feasible,schedule_strict_feasible,schedule_feasible,scheduler_note
Q1V3_Q26_178,28,30,2,4,8,18,6,1,19.5,6.638,86.88,69.556,0,1,True,False,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q26_171,29,30,1,4,6,20,8,0,11.752,6.2,86.904,69.538,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q26_170,28,30,2,4,8,18,6,1,23.689,6.83,86.462,69.556,0,1,True,False,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q26_201,28,30,2,5,7,18,8,1,11.752,6.53,84.721,65.554,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q26_176,26,30,4,3,10,17,4,0,11.752,6.818,85.282,70.3,2,0,True,False,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q28_272,31,31,0,3,9,19,8,0,11.752,6.138,88.404,76.0,1,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q28_271,29,30,1,4,10,16,6,1,23.689,6.901,86.886,69.704,0,1,True,False,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q28_262,32,32,0,5,4,23,6,0,10.691,6.121,88.016,65.721,1,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q28_261,32,32,0,4,7,21,6,0,10.691,6.182,87.654,74.128,1,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q28_231,33,33,0,5,7,21,7,0,10.5,6.09,88.631,70.25,2,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q28_230,33,33,0,4,10,19,6,0,10.5,6.135,88.47,74.607,2,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q28_251,31,31,0,6,6,19,6,0,11.18,6.403,87.414,65.92,3,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q28_250,31,31,0,4,9,18,6,0,11.18,6.387,87.722,72.71,3,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q28_223,28,30,2,3,9,18,5,0,11.956,6.658,86.783,74.2,2,0,True,False,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q28_224,30,30,0,3,9,18,4,0,11.752,6.316,87.488,75.4,1,0,True,False,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
